prof_name,course_name,grade,semester,total_cred,teaching_hours,area_1,school_type,univ_type,fulltime_type,first_build,first_room,first_day,first_time,second_build,second_room,second_day,second_time,curr_year
김상미,건강정보보호,"3,4",1학기,2,2,,전선,학사,전임,백운관,508,화,"6,7",,,,,2026
김상미,대학학문의세계,1,1학기,1,2,,교기,학사,전임,컨버전스,B103,월,"9,10",,,,,2026
김상미,의료정보기술,"3,4",1학기,3,3,,전선,학사,전임,백운관,526,월,6,,,수,"6,7",2026
김상미,의학용어(1),1,1학기,3,3,필수이수,전필,대학원,전임,백운관,526,월,8,,,목,"1,2",2026
김상미,진로지도_AI보건정보관리학,2,1학기,0,1,,교기,대학원,전임,백운관,210,수,10,,,,,2026
남은우,국제보건의 이해,0,1학기,3,3,,전공,학사,비전임,창조관,506,목,"1,2,3",,,,,2026
노진원,디지털헬스케어비즈니스,"3,4",1학기,3,3,,전선,학사,비전임,컨버전스,102,수,"3,4,5",,,,,2026
노진원,모자보건의이해,0,1학기,3,3,,전공,대학원,비전임,창조관,506,수,"6,7,8",,,,,2026
노진원,병원회계및의료원가계산,3,1학기,3,3,,전선,대학원,비전임,창조관,508,월,5,,,화,"6,7",2026
노진원,보건프로그램개발및평가,0,1학기,2,2,,선택,학사,비전임,창조관,508,수,"10,11",,,,,2026
노진원,의료경영학,"4,3",1학기,3,3,,전선,학사,비전임,창조관,508,월,"6,7",,,화,5,2026
노진원,지구건강연구,0,1학기,3,3,,공통,대학원,비전임,창조관,506,화,"8,9,10",,,,,2026
노진원,진로지도_보건행정학,2,1학기,0,1,,교기,대학원,비전임,창조관,410,수,9,,,,,2026
박명배,대학학문의세계,1,1학기,1,2,,교기,학사,전임,미래관,140,월,9,,,월,10,2026
박명배,보건교육학,"3,4",1학기,3,3,,전필,대학원,전임,창조관,527,수,2,,,목,"6,7",2026
박명배,보건의료법과정책거버넌스,0,1학기,3,3,,전공,대학원,전임,창조관,508,화,"10,11,12",,,,,2026
박명배,보건의료정책 및 관리 세미나(실습),0,1학기,3,3,,전공,대학원,전임,창조관,534,목,"10,11,12",,,,,2026
박명배,보건학특론,0,1학기,3,3,,전공,대학원,전임,창조관,506,화,"1,2,3",,,,,2026
박명배,의료관계법규,"2,3,4",1학기,3,3,,전선,대학원,전임,창조관,527,수,3,,,목,"8,9",2026
원영주,보건의료데이터큐레이션,0,1학기,2,2,,선택,학사,전임,창조관,508,수,"12,13",,,,,2026
원영주,보건의료정보관리학,"3,4",1학기,3,3,,전선,대학원,전임,컨버전스,323,월,9,,,금,"2,3",2026
원영주,보건의료통계,"2,3,4",1학기,3,4,,전선,학사,전임,컨버전스,102,월,"11,12",,,수,"6,7",2026
원영주,사회봉사(보건행정학과 봉사팀),"1,2,3,4",1학기,1,0,,선교,학사,전임,,,,,,,,,2026
원영주,의학용어(1),"2,3,4",1학기,3,3,,전필,대학원,전임,컨버전스,102,월,8,,,목,"2,3",2026
유기봉,공중보건학개론,"1,2,3,4",1학기,3,3,,전필,학사,전임,컨버전스,323,목,"5,6",,,목,7,2026
유기봉,국제보건데이터관리및분석실습,0,1학기,3,3,,전공,대학원,전임,창조관,506,월,"8,9,10",,,,,2026
유기봉,네트워크보건학,0,1학기,3,3,,전공,학사,전임,창조관,506,수,"1,2,3",,,,,2026
유기봉,보건교육실습,"3,4",1학기,3,0,,전선,대학원,전임,,,,,,,,,2026
유기봉,보건의료데이터관리,3,1학기,3,4,필수이수,전필,대학원,전임,미래관,531,화,"11,12",,,화,"13,14",2026
유기봉,보건통계학,0,1학기,3,3,,전공,대학원,전임,창조관,506,수,"10,11,12",,,,,2026
유기봉,연구방법론,0,1학기,2,2,,전선,대학원,전임,창조관,508,수,"14,15",,,,,2026
유기봉,의료빅데이터분석,3,1학기,3,4,,전선,학사,전임,미래관,132,화,"1,2",,,수,"7,8",2026
유기봉,조사방법론,"3,4",1학기,3,3,,전선,대학원,전임,컨버전스,103,월,"6,7",,,수,4,2026
유기봉,진로지도_보건행정학,2,1학기,0,1,,교기,대학원,전임,창조관,408,수,9,,,,,2026
유애정,통합돌봄서비스의이해,"3,4",1학기,3,3,,전선,학사,비전임,컨버전스,103,월,"11,12,13",,,,,2026
이광수,보건의료공간분석론,0,1학기,3,3,,전공,학사,비전임,창조관,506,월,"5,6,7",,,,,2026
이광수,의료시스템평가론,0,1학기,3,3,,전공,대학원,비전임,창조관,506,수,"13,14,15",,,,,2026
이광수,의료시스템평가의이해,0,1학기,2,2,,전선,대학원,비전임,창조관,535,화,"12,13",,,,,2026
이광수,의료의질관리,3,1학기,3,3,필수이수,전선,학사,비전임,컨버전스,323,화,"2,3",,,수,1,2026
이호철,AI프로그래밍,2,1학기,3,4,,전선,학사,전임,미래관,543,화,"6,7",,,화,"8,9",2026
이호철,대학학문의세계,1,1학기,1,2,,교기,학사,전임,컨버전스,B101,월,"9,10",,,,,2026
이호철,딥러닝,3,1학기,3,3,,전필,학사,전임,미래관,543,수,3,,,목,"1,2",2026
이호철,보건의료통계,2,1학기,3,4,필수이수,전선,학사,전임,미래관,543,월,"11,12",,,수,"6,7",2026
이호철,연구방법론1,0,1학기,3,3,,전공,학사,전임,창조관,506,목,"5,6,7",,,,,2026
