prof_name,course_name,grade,semester,total_cred,teaching_hours,area_1,school_type,univ_type,fulltime_type,first_build,first_room,first_day,first_time,second_build,second_room,second_day,second_time,curr_year
김상미,대학학문의세계,1,1학기,1,2,,교기,대학원,전임,컨버전스,B103,월,"9,10",,,,,2024
김상미,디지털헬스케어,0,2학기,3,3,,전선,대학원,전임,컨버전스,B102,수,"6,7,8",,,,,2024
김상미,보건의료조직관리,4,2학기,3,3,필수이수,전필,대학원,전임,백운관,526,화,10,,,수,"2,3",2024
김상미,의료정보기술,3,1학기,3,3,필수이수,전선,대학원,전임,백운관,526,금,"1,2,3",,,,,2024
김상미,의학용어(1),2,1학기,3,3,,전필,학사,전임,컨버전스,103,목,"1,2,3",,,,,2024
김상미,의학용어(2),1,2학기,3,3,필수이수,전필,대학원,전임,백운관,526,월,10,,,금,"2,3",2024
김상미,조사방법론,3,1학기,3,3,,전선,대학원,전임,창조관,427,월,"6,7",,,화,1,2024
김상미,진로지도_보건의료정보관리학,2,2학기,0,1,,교기,학사,전임,백운관,210,수,10,,,,,2024
김종구,소아보건및모자보건,0,2학기,3,3,,전선,대학원,비전임,컨버전스,B107,수,"1,2,3",,,,,2024
김혜경,사회적처방제도,3,1학기,3,3,,선택,대학원,비전임,컨버전스,302,금,"9,10,11",,,,,2024
남은우,건강증진 및 건강교육,0,2학기,3,3,,전선,학사,전임,컨버전스,302,월,"10,11,12",,,,,2024
남은우,건강증진학,4,2학기,3,3,,전선,대학원,전임,백운관,531,수,5,,,목,"2,3",2024
남은우,공중보건학,1,1학기,3,3,,전필,학사,전임,컨버전스,302,목,"10,11,12",,,,,2024
남은우,국제모자보건학,0,2학기,3,3,,전공,학사,전임,창조관,506,목,"6,7,8",,,,,2024
남은우,국제보건학,3,2학기,3,3,,전선,학사,전임,백운관,526,월,8,,,화,"8,9",2024
남은우,국제보건학,0,1학기,2,2,,선택,학사,전임,창조관,515,수,"10,11",,,,,2024
남은우,국제보건학,0,1학기,3,3,,전공,대학원,전임,컨버전스,B102,목,"1,2,3",,,,,2024
남은우,보건학특론,0,1학기,3,3,,전공,대학원,전임,컨버전스,B102,화,"1,2,3",,,,,2024
남은우,지역사회보건,3,1학기,3,3,,전선,학사,전임,창조관,417,수,"1,2",,,금,1,2024
남은우,현장실습,0,2학기,3,3,,전필,학사,전임,컨버전스,302,토,"1,2,3",,,,,2024
노진원,ESG와의료경영,"3,4",2학기,3,3,,전선,대학원,비전임,창조관,527,월,"5,6",,,화,5,2024
노진원,ESG와의료경영,0,1학기,3,3,,전공,대학원,비전임,컨버전스,B102,화,"9,10,11",,,,,2024
노진원,공중보건학개론,1,2학기,3,3,,전필,학사,비전임,컨버전스,318,수,"1,2",,,수,3,2024
노진원,대학학문의세계,1,1학기,1,2,,교기,학사,비전임,미래관,140,월,9,,,월,10,2024
노진원,병원회계및의료원가계산,3,1학기,3,1,,전선,대학원,비전임,백운관,503,월,4,,,,,2024
노진원,보건관리연구방법론,0,2학기,3,3,,전공,대학원,비전임,창조관,506,월,"1,2,3",,,,,2024
노진원,보건교육실습,3,2학기,3,0,,전선,학사,비전임,,,,,,,,,2024
노진원,보건및병원행정실습,4,1학기,3,0,,전선,대학원,비전임,,,,,,,,,2024
노진원,보건사업관리,0,1학기,3,3,,전공,대학원,비전임,창조관,508,화,"13,14,15",,,,,2024
노진원,보건사업관리학,4,2학기,3,3,,전선,학사,비전임,창조관,511,월,7,,,화,"6,7",2024
노진원,보건의료조직행동론,0,2학기,3,3,,전공,학사,비전임,창조관,506,화,"1,2,3",,,,,2024
노진원,보건의료조직행동론,0,2학기,3,3,,전공,대학원,비전임,컨버전스,321,화,"10,11,12",,,,,2024
노진원,보건통계학,0,1학기,3,3,,전공,대학원,비전임,,,화,"5,6,7",,,,,2024
노진원,보건프로그램개발및평가,0,1학기,3,3,,전공,학사,비전임,백운관,503,수,"6,7,8",,,,,2024
노진원,보건프로그램개발및평가,0,1학기,2,2,,선택,학사,비전임,창조관,515,수,"14,15",,,,,2024
노진원,보건학특론,0,2학기,3,3,,전공,대학원,비전임,컨버전스,321,월,"13,14,15",,,,,2024
노진원,의료경영학,2,1학기,3,3,,전필,대학원,비전임,백운관,526,화,"2,3",,,수,5,2024
노진원,의료관광학,3,1학기,3,3,,전선,학사,비전임,,,목,"11,12",,,금,10,2024
노진원,인도적의료지원,3,1학기,3,3,,선택,대학원,비전임,컨버전스,B102,목,"5,6,7",,,,,2024
노진원,조직행동론,0,2학기,2,2,,전선,학사,비전임,창조관,506,수,"12,13",,,,,2024
노진원,진로지도_보건행정학,2,2학기,0,1,,교기,대학원,비전임,창조관,410,화,10,,,,,2024
박명배,건강관리,0,2학기,3,3,,전선,대학원,전임,컨버전스,302,금,"5,6,7",,,,,2024
박명배,고급보건통계학,0,1학기,3,3,,전공,학사,전임,컨버전스,101,수,"1,2,3",,,,,2024
박명배,보건교육방법,3,2학기,3,3,,전선,대학원,전임,백운관,121,월,3,,,화,"2,3",2024
박명배,보건교육방법론,0,2학기,2,2,,전선,학사,전임,컨버전스,320,화,"12,13",,,,,2024
박명배,보건교육학,3,1학기,3,3,,전선,대학원,전임,백운관,531,목,"5,6,7",,,,,2024
박명배,사회봉사(보행드림 봉사팀),"1,2,3,4",2학기,1,0,,선교,학사,전임,,,,,,,,,2024
박명배,연구방법론,0,2학기,3,3,,전공,학사,전임,컨버전스,321,월,"10,11,12",,,,,2024
박명배,의료관계법규,2,1학기,3,3,,전선,대학원,전임,백운관,526,목,"8,9,10",,,,,2024
송희영,기초간호과학 I,1,2학기,2,2,,전기,학사,비전임,컨버전스,103,금,"1,2",,,,,2024
원영주,대학학문의세계,1,1학기,1,2,,교기,대학원,전임,컨버전스,B101,월,"9,10",,,,,2024
원영주,보건의료정보관리실무,4,2학기,3,4,,전선,학사,전임,미래관,543,화,"6,7",,,화,"8,9",2024
원영주,보건의료정보관리학,2,1학기,3,3,필수이수,전선,대학원,전임,컨버전스,103,금,"1,2,3",,,,,2024
원영주,보건의료통계,2,1학기,3,4,필수이수,전선,대학원,전임,창조관,184,월,"11,12",,,수,"7,8",2024
원영주,보건학,0,2학기,2,2,,전필,학사,전임,창조관,506,수,"14,15",,,,,2024
원영주,사회봉사(보건행정학과 봉사팀),"1,2,3,4",2학기,1,0,,선교,대학원,전임,,,,,,,,,2024
원영주,사회봉사-보건행정학부 봉사팀,"1,2,3,4",1학기,1,0,,선교,대학원,전임,,,,,,,,,2024
원영주,암등록,3,2학기,2,4,필수이수,전선,대학원,전임,창조관,527,월,"9,10",,,목,"10,11",2024
원영주,역학,2,2학기,3,3,선택이수,전선,대학원,전임,백운관,526,월,"5,6",,,수,1,2024
원영주,역학,0,2학기,3,3,,전공,대학원,전임,창조관,508,월,"1,2,3",,,,,2024
원영주,의료정보관리학,4,2학기,3,3,,전선,학사,전임,컨버전스,105,월,8,,,금,"5,6",2024
원영주,의무기록전사,4,2학기,1,1,선택이수,전선,학사,전임,컨버전스,B109,화,5,,,,,2024
원영주,진로지도_보건의료정보관리학,2,1학기,0,1,,교기,대학원,전임,창조관,406,수,9,,,,,2024
원영주,진로지도_보건의료정보관리학,2,2학기,0,1,,교기,학사,전임,창조관,406,수,10,,,,,2024
원영주,현장실습,4,1학기,3,0,필수이수,전선,대학원,전임,,,,,,,,,2024
원영주,현장실습,4,2학기,3,0,,전필,대학원,전임,,,,,,,,,2024
이광수,건강결과연구세미나,0,1학기,3,3,,전공,학사,비전임,창조관,534,수,"13,14,15",,,,,2024
이광수,건강결과연구의이론과실제,0,1학기,2,2,,전선,대학원,비전임,창조관,506,화,"12,13",,,,,2024
이광수,건강보험이론및실무,3,2학기,3,4,필수이수,전선,학사,비전임,미래관,140,수,"5,6",,,수,"7,8",2024
이광수,병원서비스평가,0,2학기,2,2,,전선,학사,비전임,컨버전스,320,화,"14,15",,,,,2024
이광수,병원전략경영론,3,1학기,3,3,,전선,학사,비전임,컨버전스,B103,화,"5,6,8",,,,,2024
이광수,보건의료공간분석론,0,2학기,3,3,,전공,대학원,비전임,창조관,508,월,"6,7,8",,,,,2024
이광수,보건의료자료관리및분석,0,2학기,3,3,,전공,학사,비전임,컨버전스,316,수,"10,11,12",,,,,2024
이광수,보건의료정책 및 관리 세미나(실습),0,1학기,3,3,,전공,대학원,비전임,창조관,534,목,"10,11,12",,,,,2024
이광수,의료시스템평가론,0,2학기,3,3,,전공,학사,비전임,창조관,508,화,"10,11,12",,,,,2024
이광수,의료의질관리,3,1학기,3,3,필수이수,전선,대학원,비전임,창조관,508,월,"8,9,수8",,,,,2024
이광수,진로지도_보건행정학,2,1학기,0,1,,교기,학사,비전임,창조관,413,수,9,,,,,2024
이광수,질평가및관리세미나,0,1학기,3,3,,전공,대학원,비전임,창조관,506,월,"11,12,13",,,,,2024
이호철,보건통계학,1,1학기,3,3,,전필,학사,전임,컨버전스,B103,화,"2,3,4",,,,,2024
정형선,공중보건학개론,1,1학기,3,3,,전필,학사,전임,컨버전스,318,목,"1,2",,,목,3,2024
정형선,보건경제학,2,1학기,3,3,,전선,대학원,전임,창조관,527,월,"1,2,3",,,,,2024
정형선,보건계정세미나,0,1학기,3,3,,전공,대학원,전임,창조관,506,월,"7,8,9",,,,,2024
정형선,보건행정 및 보건경제,0,1학기,3,3,,전공,학사,전임,창조관,508,화,"10,11,12",,,,,2024
정형선,보건행정및보건경제,0,1학기,2,2,,전선,대학원,전임,창조관,506,화,"14,15",,,,,2024
정형선,보건행정학,2,2학기,3,3,선택이수,전필,대학원,전임,창조관,527,월,"1,2",,,화,1,2024
정형선,비교의료제도론,0,2학기,3,3,,전공,학사,전임,컨버전스,321,화,"13,14,15",,,,,2024
정형선,의료보장특론,0,2학기,3,3,,전공,대학원,전임,창조관,508,월,"10,11,12",,,,,2024
정형선,의료심사평가론,"3,4",2학기,3,3,,전선,학사,전임,컨버전스,323,목,"1,2,3",,,,,2024
정형선,진로지도_보건행정학,2,1학기,0,1,,교기,대학원,전임,컨버전스,B103,수,9,,,,,2024
조원길,병리학개론,2,1학기,3,3,필수이수,전선,대학원,비전임,백운관,526,목,"5,6,7",,,,,2024
조원길,의과학연구방법론,0,2학기,2,2,,공통,학사,비전임,,,월,"10,11",,,,,2024
조원길,해부생리학,2,1학기,3,3,,전필,학사,비전임,미래관,231,금,"2,3,4",,,,,2024
조원길,해부생리학,2,1학기,3,3,,전선,학사,비전임,백운관,526,금,"5,6,7",,,,,2024
조원길,해부생리학,1,2학기,3,3,,전선,학사,비전임,백운관,534,목,"5,6,7",,,,,2024
조원길,해부학,1,2학기,3,3,,전선,학사,비전임,백운관,121,목,"1,2,3",,,,,2024
최순도,의무기록정보분석실무,3,2학기,3,5,필수이수,전선,대학원,전임,컨버전스,103,목,1,,,목,"2,3,4,5",2024
최순도,질병및의료행위분류1,3,1학기,3,4,필수이수,전선,학사,전임,컨버전스,103,금,"5,6",,,금,"7,8",2024
최순도,질병및의료행위분류2,3,2학기,3,4,선택이수,전선,학사,전임,백운관,526,목,"6,7",,,목,"8,9",2024
최재우,보건의료DB활용 특론,0,2학기,3,3,,전공,학사,전임,창조관,417,수,"11,12,13",,,,,2024
최재우,보건의료데이터관리,3,1학기,3,4,필수이수,전선,대학원,전임,창조관,434,수,"11,12",,,수,"13,14",2024
