prof_name,course_name,grade,semester,total_cred,teaching_hours,area_1,school_type,univ_type,fulltime_type,first_build,first_room,first_day,first_time,second_build,second_room,second_day,second_time,curr_year
남영광,산학공동프로젝트,4,1학기,2,0,,전선,대학원,비전임,,,,,,,,,2022
남은우,건강증진학,4,2학기,3,3,,전선,대학원,비전임,백운관,531,월,5,,,수,"5,6",2022
남은우,국제보건학,3,2학기,3,3,선택이수,전선,대학원,비전임,백운관,526,월,8,,,화,"1,2",2022
남은우,국제역학,0,2학기,3,3,,전공,대학원,비전임,창조관,468,목,"1,2,3",,,,,2022
노진원,건강형평성:이론과실제,0,1학기,3,3,,전공,학사,전임,창조관,508,화,"1,2,3",,,,,2022
노진원,과학적병원관리기법,3,1학기,3,3,기타(전공교과),전선,대학원,전임,백운관,531,월,5,,,화,"9,10",2022
노진원,대학학문의세계 (자율_학교생활 관찰하기),1,1학기,1,2,,교기,학사,전임,미래관,231,월,9,,,월,10,2022
노진원,병원회계및의료원가계산,3,1학기,3,3,,전선,대학원,전임,백운관,531,화,"7,8",,,수,6,2022
노진원,보건관리연구방법론,0,2학기,3,3,,전공,대학원,전임,창조관,474,월,"5,6,7",,,,,2022
노진원,보건사업관리,0,2학기,3,3,,전공,학사,전임,창조관,515,수,"10,11,12",,,,,2022
노진원,보건사업관리학,4,2학기,3,3,,전선,대학원,전임,백운관,531,월,3,,,화,"6,7",2022
노진원,보건의료조직행동론,0,2학기,3,3,,전공,학사,전임,창조관,534,수,"1,2,3",,,,,2022
노진원,원가계산특론,0,1학기,3,3,,전공,대학원,전임,창조관,508,수,"1,2,3",,,,,2022
노진원,의료경영학,3,1학기,3,3,,전선,대학원,전임,백운관,531,목,"13,14,15",,,,,2022
노진원,의료경영학,0,2학기,3,3,,선택,학사,전임,창조관,534,수,"6,7,8",,,,,2022
노진원,조직행동론,0,2학기,2,1,,전선,학사,전임,창조관,521,화,2,,,,,2022
박명배,보건교육방법,3,2학기,3,3,기타(전공교과),전선,학사,비전임,백운관,526,금,"5,6,7",,,,,2022
박명배,보건프로그램개발및평가,3,2학기,3,3,기타(전공교과),전선,대학원,비전임,백운관,526,금,"8,9,10",,,,,2022
박명배,의료관계법규,2,1학기,3,3,,전선,대학원,비전임,백운관,523,수,"7,8,9",,,,,2022
서영준,공중보건학개론,1,1학기,3,3,기타(전공교과),전필,학사,전임,,,목,"1,2,3",,,,,2022
서영준,보건학,0,2학기,2,1,,전필,대학원,전임,창조관,521,수,2,,,,,2022
서영준,보건학특론,0,2학기,3,3,,전공,학사,전임,창조관,527,수,"10,11,12",,,,,2022
원영주,병원통계,2,1학기,3,3,,전필,대학원,비전임,백운관,120,월,5,,,수,"5,6",2022
원영주,보건의료정보관리,3,1학기,3,3,,전선,대학원,비전임,백운관,531,화,"13,14,15",,,,,2022
원영주,보건의료정보관리실무,2,2학기,3,4,필수이수,전선,학사,비전임,백운관,121,화,"6,7,8,9",창조관,417,,,2022
원영주,암등록,3,2학기,2,4,필수이수,전선,학사,비전임,백운관,531,월,"9,10",,,목,"10,11",2022
원영주,역학,3,1학기,3,3,기타(전공교과),전선,학사,비전임,백운관,121,화,5,백운관,534,수,"2,3",2022
원영주,역학,0,2학기,3,3,,전공,대학원,비전임,창조관,474,월,"1,2,3",,,,,2022
원영주,의무기록전사,3,2학기,1,1,선택이수,전선,대학원,비전임,백운관,526,화,5,,,,,2022
원영주,의학용어,3,2학기,3,3,,전선,대학원,비전임,백운관,526,목,"13,14,15",,,,,2022
원영주,현장실습,4,2학기,3,0,,전선,학사,비전임,,,,,,,,,2022
유기봉,고급보건통계학,0,1학기,3,3,,전공,학사,전임,창조관,417,목,"1,2,3",,,,,2022
유기봉,논문,0,2학기,0,1,,선택,학사,전임,창조관,521,화,0,,,,,2022
유기봉,데이터베이스,2,2학기,3,3,,전선,대학원,전임,창조관,434,월,6,,,화,"1,2",2022
유기봉,보건및병원행정실습,4,2학기,3,0,기타(전공교과),전선,학사,전임,,,,,,,,,2022
유기봉,보건의료DB론,3,1학기,3,4,기타(전공교과),전선,학사,전임,백운관,531,화,"5,6,목",,,목,5,2022
유기봉,보건의료DB활용 특론,0,2학기,3,3,,전공,학사,전임,창조관,508,화,"6,7,8",,,,,2022
유기봉,보건의료정보입문,1,2학기,3,3,기타(전공교과),전필,학사,전임,창조관,102,월,"7,8",,,화,3,2022
유기봉,보건의료통계,"2,3,4",2학기,3,3,,전필,학사,전임,미래관,234,수,"7,8,9",,,,,2022
유기봉,빅데이터분석,"3,4",1학기,3,3,,전선,대학원,전임,창조관,434,월,1,,,수,"2,3",2022
유기봉,연구방법론,0,2학기,3,3,,전공,대학원,전임,창조관,527,수,"13,14,15",,,,,2022
유기봉,의료정보관리학,4,2학기,3,3,,전선,대학원,전임,창조관,102,월,"7,8",,,화,3,2022
유기봉,진로지도-보건의료정보관리학전공,2,1학기,0,1,,교기,학사,전임,창조관,417,수,9,,,,,2022
이광수,병원서비스평가,0,2학기,2,1,,전선,학사,비전임,창조관,521,수,3,,,,,2022
이광수,보건의료성과평가제도특론,0,2학기,3,3,,전공,대학원,비전임,창조관,508,화,"10,11,12",,,,,2022
이광수,보건의료정책 및 관리 세미나(실습),0,2학기,3,3,,전공,학사,비전임,창조관,378,목,"10,11,12",,,,,2022
이광수,의료보험,3,2학기,3,3,,전선,대학원,비전임,백운관,321,수,"7,8",,,목,9,2022
이광수,의료시스템평가론,0,1학기,3,3,,전공,학사,비전임,창조관,508,화,"13,14,15",,,,,2022
이광수,의료질관리,3,1학기,3,3,필수이수,전선,대학원,비전임,백운관,531,월,"2,3,9",,,,,2022
이광수,진로지도-보건행정학전공,2,1학기,0,1,,교기,대학원,비전임,,,수,9,,,,,2022
이호철,보건통계학,0,2학기,3,3,,전필,대학원,비전임,백운관,526,화,"0,1,2",,,,,2022
정형선,보건경제학,2,2학기,3,3,기타(전공교과),전선,대학원,전임,백운관,531,월,"1,2",,,수,9,2022
정형선,보건행정및보건경제,0,2학기,2,1,,전선,대학원,전임,창조관,521,화,3,,,,,2022
정형선,보건행정학,2,1학기,3,2,선택이수,전필,학사,전임,창조관,521,월,"2,3",,,,,2022
정형선,사회보험 정책 세미나,0,2학기,3,3,,전공,학사,전임,창조관,506,화,"1,2,3",,,,,2022
정형선,의료보장특론,0,2학기,3,3,,전공,대학원,전임,창조관,527,화,"10,11,12",,,,,2022
정형선,의료심사평가론,2,2학기,3,3,기타(전공교과),전선,대학원,전임,백운관,526,목,"1,2,3",,,,,2022
정형선,의료제도분석세미나,0,1학기,3,3,,전공,학사,전임,창조관,508,수,"6,7,8",,,,,2022
조원길,병리학개론,2,1학기,3,3,,전선,대학원,전임,백운관,526,목,"5,6,7",,,,,2022
조원길,의과학연구방법론,0,2학기,2,2,,공통,학사,전임,의학관, 114,월,"10,11",,,,,2022
조원길,인체해부학,1,2학기,3,3,,전선,대학원,전임,백운관,320,목,"1,2,3",,,,,2022
조원길,인체해부학,1,2학기,3,3,,전선,대학원,전임,컨버전스,B114,금,"5,6,7",,,,,2022
조원길,해부생리학,1,2학기,3,3,,전선,대학원,전임,컨버전스,103,목,"6,7,8",,,,,2022
조원길,해부학,1,2학기,3,3,,전선,학사,전임,백운관,320,목,"1,2,3",,,,,2022
진기남,의료경영정보총론,3,1학기,3,3,,전선,학사,비전임,백운관,531,목,"10,11,12",,,,,2022
