prof_name,course_name,grade,semester,total_cred,teaching_hours,area_1,school_type,univ_type,fulltime_type,first_build,first_room,first_day,first_time,second_build,second_room,second_day,second_time,curr_year
김상미,건강정보보호,4,1학기,2,2,필수이수,전선,학사,전임,창조관,508,화,"8,9",,,,,2025
김상미,대학학문의세계,1,1학기,1,2,,교기,학사,전임,컨버전스,B103,월,"9,10",,,,,2025
김상미,보건의료조직관리,4,2학기,3,3,필수이수,전필,학사,전임,백운관,526,화,10,,,수,"2,3",2025
김상미,의료정보기술,3,1학기,3,3,필수이수,전선,대학원,전임,백운관,523,목,10,,,금,"2,3",2025
김상미,의무기록정보질향상실무,4,1학기,3,2,필수이수,전선,학사,전임,백운관,505,월,2.3,백운관,526,화,6.7,2025
김상미,의학용어(1),1,1학기,3,4,필수이수,전필,학사,전임,창조관,102,월,"8,목2,",,,목,"2,3",2025
김상미,의학용어(2),1,2학기,3,3,필수이수,전필,대학원,전임,창조관,184,월,10,,,수,"7,8",2025
남은우,건강증진학,4,2학기,3,3,,전선,학사,비전임,창조관,535,수,5,,,목,"2,3",2025
남은우,국제보건학,0,1학기,2,2,,선택,대학원,비전임,컨버전스,101,월,"10,11",,,,,2025
남은우,국제보건학,3,2학기,3,3,,전선,학사,비전임,컨버전스,323,월,8,,,화,"8,9",2025
남은우,사회적처방의이론과실제,0,2학기,3,3,,전공,대학원,비전임,창조관,511,목,"6,7,8",,,,,2025
남은우,지역사회보건,3,1학기,3,3,,전선,대학원,비전임,백운관,526,수,"1,2",,,금,1,2025
남은우,현장실습,0,1학기,3,3,,전필,대학원,비전임,컨버전스,302,토,"1,2,3",,,,,2025
노진원,ESG와의료경영,"3,4",2학기,3,3,,전선,학사,전임,컨버전스,323,월,"5,6",,,화,5,2025
노진원,"개발,국제보건의이론과실제",0,2학기,3,3,,전공,학사,전임,창조관,508,화,"1,2,3",,,,,2025
노진원,공중보건학개론,"1,2,3,4",1학기,3,3,,전필,학사,전임,미래관,139,목,"1,2",,,목,3,2025
노진원,공중보건학개론,"1,2,3,4",2학기,3,3,,전필,대학원,전임,컨버전스,318,수,"1,2",,,수,3,2025
노진원,공중보건학개론,"1,2,3,4",1학기,3,3,,전필,학사,전임,컨버전스,323,목,"5,6",,,목,7,2025
노진원,국제보건의 이해,0,1학기,3,3,,전공,학사,전임,창조관,506,목,"1,2,3",,,,,2025
노진원,병원회계및의료원가계산,3,1학기,3,3,,전선,학사,전임,백운관,531,월,5,,,화,"6,7",2025
노진원,보건및병원행정실습,"3,4",1학기,3,0,,전선,대학원,전임,,,,,,,,,2025
노진원,보건및병원행정실습,"3,4",2학기,3,0,,전선,대학원,전임,,,,,,,,,2025
노진원,보건사업관리,0,1학기,3,3,,전공,대학원,전임,창조관,508,화,"13,14,15",,,,,2025
노진원,보건사업관리학,4,2학기,3,3,,전선,학사,전임,컨버전스,103,수,4,,,목,"4,5",2025
노진원,보건의료조직행동론,0,2학기,3,3,,전공,학사,전임,창조관,527,화,"13,14,15",,,,,2025
노진원,보건프로그램개발및평가,0,1학기,3,3,,전공,학사,전임,창조관,506,수,"6,7,8",,,,,2025
노진원,보건프로그램개발및평가,0,1학기,2,2,,선택,학사,전임,컨버전스,101,수,"12,13",,,,,2025
노진원,의료경영학,2,1학기,3,3,,전선,학사,전임,백운관,120,월,"6,7",백운관,321,화,5,2025
노진원,조직행동론,0,2학기,2,2,,전선,대학원,전임,컨버전스,101,수,"12,13",,,,,2025
노진원,지구건강연구,0,1학기,3,3,,공통,학사,전임,컨버전스,B108,화,"8,9,10",,,,,2025
노진원,지구건강의이해,"3,4",2학기,3,3,,전선,학사,전임,컨버전스,323,월,7,,,화,"6,7",2025
노진원,진로지도,2,1학기,0,1,,교기,대학원,전임,창조관,410,수,9,,,,,2025
