curr_year,area_1,specialized_area,course_name,open_sem,school_type,is_cert,hosting_dept,course_std,grad_cred,total_cred,theory_cred,prac_cred,hours,note,prog_cred,syllabus,prereq,has_class_div,real_sem,plan_prof,bldg_name,room_no,room_type,real_prof,teach_method,eval_method,req_count,act_count,sat_score,temp_date,temp_user,final_date,final_user,화면에서 클릭해서 넣을 수 있게
2022,교양기초,,채플,"1-1, 1-2, 2-1,2-2",교기,,교목실,,,2,2,0,2,"(과목당 0.5학점, 4P이수)",,,,,,,,,,,,,,,강의만족도점수,,,,,
2022,교양기초,,기독교의 이해,1-1,교기,,교목실,,,3,3,0,3,,,,,,,,,,,,,,,,강의만족도점수,,,,,
2022,교양기초,,글쓰기,1-2,교기,,글로벌창의융합대학,,,3,3,0,3,,,,,,,,,,,,,,,,강의만족도점수,,,,,
2022,교양기초,,교양영어Ⅰ,1-1,교기,,글로벌창의융합대학,,,2,2,0,2,,,,,,,,,,,,,,,,강의만족도점수,,,,,
2022,교양기초,,교양영어Ⅱ,1-2,교기,,글로벌창의융합대학,,,2,2,0,2,,,,,,,,,,,,,,,,강의만족도점수,,,,,
2022,교양기초,,리더십개발,1-1,교기,,RC융합대학,,,2,2,0,2,,,,,,,,,,,,,,,,강의만족도점수,,,,,
2022,교양기초,,리더십실습,1-2,교기,,RC융합대학,,,2,2,0,2,,,,,,,,,,,,,,,,강의만족도점수,,,,,
2022,교양기초,,대학학문의세계,1-1,교기,,RC융합대학,,,1,0,1,2,,,,,,,,,,,,,,,,강의만족도점수,,,,,
2022,교양기초,,컴퓨팅사고,1-1,교기,,SWDH융합대학,,,3,2,1,4,,,,,,,,,,,,,,,,강의만족도점수,,,,,
2022,교양기초,,진로지도,2-1,교기,,학과,,,0,0,0,1,,,,,,,,,,,,,,,,강의만족도점수,,,,,
2022,교양기초,,경력개발,"2-2, 3-1, 3-2",교기,,미래인재개발원,,,2,2,0,2,경력개발 영역 중 2과목(과목당 1학점),,,,,,,,,,,,,,,강의만족도점수,,,,,
2022,필수이수,,보건의료정보관리학,2-1,전선,o,학과,,,3,3,0,3,,3,,,아니오,2-1,원영주,,,,원영주,,,,,강의만족도점수,,,,,
2022,필수이수,,보건의료정보관리실무,2-2,전선,o,학과,,,3,2,1,4,,1,,,아니오,2-2,원영주,,,,원영주,,,,,강의만족도점수,,,,,
2022,필수이수,,보건의료조직관리,3-2,전선,o,학과,,,3,3,0,3,,3,,,아니오,3-2,원영주,,,,김상미,O,O,,,강의만족도점수,,,,,
2022,필수이수,,건강정보보호,4-1,전선,o,학과,,,2,2,0,2,,2,,,아니오,4-1,원영주,,,,김상미,,,,,강의만족도점수,,,,,
2022,필수이수,,질병및의료행위분류1,3-1,전선,o,학과,,,3,2,1,4,,1,,,아니오,3-1,최순도,,,,최순도,,,,,강의만족도점수,,,,,
2022,필수이수,,의무기록정보분석실무,3-2,전선,o,학과,,,3,1,2,5,,2,,,아니오,3-2,최순도,,,,최순도,,,,,강의만족도점수,,,,,
2022,필수이수,,의무기록정보질향상실무,4-1,전선,o,학과,,,3,2,1,4,,1,,,아니오,4-1,원영주,,,,원영주,,,,,강의만족도점수,,,,,
2022,필수이수,,암등록,3-2,전선,o,학과,,,2,0,2,4,,2,,,아니오,3-2,원영주,,,,원영주,,,,,강의만족도점수,,,,,
2022,필수이수,,의료질관리,3-1,전선,o,학과,,,3,3,0,3,,3,,,아니오,3-1,이광수,,,,이광수,,,,,강의만족도점수,,,,,
2022,필수이수,,건강보험이론및실무,3-1,전선,o,학과,,,3,2,1,4,,1,,,아니오,3-2,이광수,,,,이광수,,,,,강의만족도점수,,,,,
2022,필수이수,,보건의료통계,2-1,전필,o,학과,,,3,2,1,4,,1,,,아니오,2-1,원영주,,,,원영주,,,,,강의만족도점수,,,,,
2022,필수이수,,보건의료데이터관리,3-1,전선,o,학과,,,3,2,1,4,,1,,,아니오,3-1,유기봉,,,,최재우,,,,,강의만족도점수,,,,,
2022,필수이수,,의료정보기술,3-1,전선,o,학과,,,3,3,0,3,,3,,,아니오,3-1,원영주,,,,김상미,O,,,,강의만족도점수,,,,,
2022,필수이수,,의료관계법규,4-2,전선,o,학과,,,3,3,0,3,,3,,,아니오,4-2,박명배,,,,박명배,,,,,강의만족도점수,,,,,
2022,필수이수,,의학용어(1),2-1,전필,o,학과,,,3,3,0,3,,3,,,아니오,2-1,이은경,,,,이은경,,,,,강의만족도점수,,,,,
2022,필수이수,,의학용어(2),2-2,전선,o,학과,,,3,3,0,3,,3,,,아니오,2-2,이은경,,,,이은경,,,,,강의만족도점수,,,,,
2022,필수이수,,병리학,2-1,전선,o,학과,,,3,3,0,3,,3,,,아니오,2-1,조원길,,,,조원길,,,,,강의만족도점수,,,,,
2022,필수이수,,해부생리학,2-1,전선,o,학과,,,3,3,0,3,,3,,,아니오,2-1,조원길,,,,조원길,,,,,강의만족도점수,,,,,
2022,필수이수,,현장실습,4-1,전선,o,학과,,,3,0,3,6,,3,,,아니오,4-1,원영주,,,,원영주,,O,,,강의만족도점수,,,,,
2022,선택이수,보건의료정보관리(HIM),의무기록전사,3-2,전선,o,학과,,,1,1,0,1,,1,,,아니오,3-2,원영주,,,,원영주,,,,,강의만족도점수,,,,,
2022,선택이수,보건의료정보관리(HIM),질병및의료행위분류2,3-2,전선,o,학과,,,3,2,1,4,,1,,,아니오,3-2,최순도,,,,최순도,,,,,강의만족도점수,,,,,
2022,선택이수,보건의료관리(HM),보건행정학,2-1,전필,o,학과,,,3,3,0,3,,3,,,아니오,2-2,정형선,,,,정형선,,,,,강의만족도점수,,,,,
2022,선택이수,보건의료관리(HM),의료경영학,2-1,전필,o,학과,,,3,3,0,3,,3,,,아니오,2-2,노진원,,,,노진원,,,,,강의만족도점수,,,,,
