curr_year,area_1,specialized_area,course_name,open_sem,school_type,is_cert,hosting_dept,course_std,grad_cred,total_cred,theory_cred,prac_cred,hours,note,prog_cred,syllabus,prereq,has_class_div,real_sem,plan_prof,bldg_name,room_no,room_type,real_prof,teach_method,eval_method,req_count,act_count,sat_score,temp_date,temp_user,final_date,final_user,화면에서 클릭해서 넣을 수 있게
2022,선택이수,보건의료관리(HM),국제보건학,3-2,전선,o,학과,,,3,3,0,3,,3,,,아니오,3-2,남은우,,,,남은우,,,,,강의만족도점수,,,,,
2022,기타(전공교과),,공중보건학개론,1-1,전필,o,학과,,,3,3,0,3,,,,,,,,,,,,,,,,강의만족도점수,,,,,
2022,기타(전공교과),,보건의료정보입문,1-2,전필,o,학과,,,3,3,0,3,,,,,,,,,,,,,,,,강의만족도점수,,,,,
2022,기타(전공교과),,병원경영진단및분석,4-1,전선,o,학과,,,3,3,0,3,,,,,,,,,,,,,,,,강의만족도점수,,,,,
2022,기타(전공교과),,조사방법론,3-1,전선,o,학과,,,3,3,0,3,,,,,,,,,,,,,,,,강의만족도점수,,,,,
2022,기타(전공교과),,과학적병원관리기법,3-1,전선,o,학과,,,3,3,0,3,,,,,,,,,,,,,,,,강의만족도점수,,,,,
2022,기타(전공교과),,보건의료DB론,3-1,전선,o,학과,,,3,3,0,3,,,,,,,,,,,,,,,,강의만족도점수,,,,,
2022,기타(전공교과),,의료관광학,3-1,전선,o,학과,,,3,3,0,3,,,,,,,,,,,,,,,,강의만족도점수,,,,,
2022,기타(전공교과),,역학,3-1,전선,o,학과,,,3,3,0,3,,,,,,,,,,,,,,,,강의만족도점수,,,,,
2022,기타(전공교과),,건강증진학,4-1,전선,o,학과,,,3,3,0,3,,,,,,,,,,,,,,,,강의만족도점수,,,,,
2022,기타(전공교과),,보건의료커뮤니케이션,4-1,전선,o,학과,,,3,3,0,3,,,,,,,,,,,,,,,,강의만족도점수,,,,,
2022,기타(전공교과),,NCS보건학,4-1,전선,o,학과,,,3,3,0,3,,,,,,,,,,,,,,,,강의만족도점수,,,,,
2022,기타(전공교과),,보건및병원행정실습,4-1,전선,o,학과,,,3,3,0,3,,,,,,,,,,,,,,,,강의만족도점수,,,,,
2022,기타(전공교과),,보건사업관리학,4-1,전선,o,학과,,,3,3,0,3,,,,,,,,,,,,,,,,강의만족도점수,,,,,
2022,기타(전공교과),,보건경제학,2-2,전선,o,학과,,,3,3,0,3,,,,,,,,,,,,,,,,강의만족도점수,,,,,
2022,기타(전공교과),,의료심사평가론,2-2,전선,o,학과,,,3,3,0,3,,,,,,,,,,,,,,,,강의만족도점수,,,,,
2022,기타(전공교과),,보건교육방법,3-2,전선,o,학과,,,3,3,0,3,,,,,,,,,,,,,,,,강의만족도점수,,,,,
2022,기타(전공교과),,보건정책분석,3-2,전선,o,학과,,,3,3,0,3,,,,,,,,,,,,,,,,강의만족도점수,,,,,
2022,기타(전공교과),,보건프로그램개발및평가,3-2,전선,o,학과,,,3,3,0,3,,,,,,,,,,,,,,,,강의만족도점수,,,,,
2022,기타(전공교과),,보건및병원행정실습,4-2,전선,o,학과,,,3,0,3,6,,,,,,,,,,,,,,,,강의만족도점수,,,,,
